                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2074,                 2.4731,                 1.6169,                0.80727,                0.10573,                0.35317,                0.17193,                 1.4223,                 3.0586,                 2.1175,               0.070508,              0.0032768,              0.0032768
                      1,                 1.1935,                 1.8281,                 1.5703,                0.47745,                 0.2521,                0.32726,                0.14052,                 1.7441,                 2.6461,                 2.3081,               0.040443,              0.0065447,              0.0065447
                      2,                 1.2196,                 1.6749,                 1.5795,                0.45183,                0.52941,                0.47006,                0.25348,                 1.6438,                 3.3667,                 2.4026,               0.010312,              0.0097466,              0.0097466
                      3,                 1.2929,                 1.7258,                 1.6923,                 0.4481,                0.36975,                0.33632,                0.15616,                 1.8516,                 4.8137,                 3.2101,               0.009703,               0.009703,               0.009703
                      4,                 1.2932,                 1.6318,                 1.6887,                0.47102,                0.36975,                0.29715,                0.11104,                 2.3091,                 3.2116,                 3.7435,               0.009703,               0.009703,               0.009703
                      5,                 1.3473,                 1.6385,                 1.7045,                0.59472,                0.56303,                0.50121,                0.24662,                 1.7914,                  2.097,                  2.583,               0.009604,               0.009604,               0.009604
                      6,                 1.3449,                 1.5513,                 1.7069,                0.59757,                0.58824,                0.58226,                0.27852,                 1.9032,                 1.8614,                  2.696,               0.009505,               0.009505,               0.009505
                      7,                 1.3103,                 1.4669,                 1.6718,                0.68534,                0.52101,                0.56982,                0.24036,                 1.8859,                 2.0985,                 2.5145,               0.009406,               0.009406,               0.009406
                      8,                 1.2855,                 1.3982,                 1.6413,                0.58038,                0.41843,                0.44059,                0.22199,                 1.8213,                 2.1956,                 2.7353,               0.009307,               0.009307,               0.009307
                      9,                 1.2907,                 1.3965,                  1.668,                0.53023,                0.52101,                0.51442,                0.27467,                 1.8696,                 2.1516,                 2.8864,               0.009208,               0.009208,               0.009208
                     10,                 1.2655,                 1.3508,                 1.6336,                0.59202,                0.63025,                0.56783,                0.26121,                  1.801,                 1.8674,                  2.255,               0.009109,               0.009109,               0.009109
                     11,                 1.2614,                 1.3591,                 1.6402,                0.68929,                0.61345,                0.69166,                0.33896,                 1.7323,                  1.554,                 2.1771,                0.00901,                0.00901,                0.00901
