                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.66881,                 0.5108,                 1.1735,                0.85901,                 0.7395,                 0.8278,                0.56308,                 1.3114,                0.93333,                 1.8705,               0.070508,              0.0032768,              0.0032768
                      1,                0.70897,                0.56327,                 1.1942,                0.80305,                 0.7881,                0.85297,                 0.5331,                 1.3041,                0.96399,                 1.8175,               0.040476,              0.0065774,              0.0065774
                      2,                0.76775,                0.59338,                 1.2145,                0.85048,                 0.7395,                0.82005,                0.50844,                 1.3576,                 1.0368,                 1.9185,                0.01041,              0.0098451,              0.0098451
                      3,                0.82804,                0.65561,                 1.2724,                 0.7678,                0.72245,                0.76922,                0.43324,                 1.6269,                 1.2055,                 2.3338,              0.0098515,              0.0098515,              0.0098515
                      4,                0.89285,                0.75481,                 1.3214,                0.71269,                0.70588,                0.72832,                0.44082,                 1.6104,                 1.1934,                 2.2504,              0.0098515,              0.0098515,              0.0098515
                      5,                0.92075,                0.75004,                 1.3367,                 0.5926,                 0.7395,                0.71174,                0.44556,                 1.5114,                 1.1647,                  1.991,               0.009802,               0.009802,               0.009802
                      6,                  0.944,                0.81542,                 1.3531,                0.78436,                0.67245,                0.74691,                0.44356,                 1.6191,                 1.2171,                 2.1578,              0.0097525,              0.0097525,              0.0097525
                      7,                0.94329,                0.77146,                 1.3491,                0.74607,                0.66387,                0.76219,                0.41724,                 1.5449,                 1.1096,                 2.1411,               0.009703,               0.009703,               0.009703
                      8,                0.92704,                0.77187,                 1.3384,                 0.7874,                 0.6536,                0.74609,                 0.4543,                 1.5419,                 1.1662,                 2.0745,              0.0096535,              0.0096535,              0.0096535
                      9,                 0.9414,                0.76726,                 1.3579,                0.72173,                0.64706,                0.67815,                 0.3824,                 1.7179,                 1.2648,                 2.4263,               0.009604,               0.009604,               0.009604
                     10,                0.93265,                0.83951,                 1.3555,                0.83471,                 0.7395,                0.81317,                0.44767,                 1.5354,                 1.0815,                 2.0873,              0.0095545,              0.0095545,              0.0095545
                     11,                0.91588,                0.76956,                 1.3467,                0.76519,                 0.7479,                0.83309,                0.47694,                 1.5298,                 1.0464,                 2.0675,               0.009505,               0.009505,               0.009505
                     12,                0.94995,                 0.8332,                 1.3594,                0.75565,                0.77311,                0.78625,                0.49179,                 1.5202,                 1.0751,                 2.0706,              0.0094555,              0.0094555,              0.0094555
                     13,                0.93138,                0.74191,                 1.3551,                0.88124,                0.62359,                0.76252,                0.44233,                 1.5755,                 1.0852,                 2.1661,               0.009406,               0.009406,               0.009406
                     14,                0.93033,                0.75994,                 1.3397,                 0.6663,                0.69748,                0.71739,                0.42527,                 1.4632,                   1.21,                 1.9563,              0.0093565,              0.0093565,              0.0093565
