                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4743,                 1.8121,                 0.3672,                 1.1487,                 1.4566,                0.92663,                0.90329,                0.90736,                0.66788,                0.84588,                    0.5,                0.53474,                0.35201,                0.89722,                 3.5607,                0.34647,                0.59645,                 1.0566,                      0,                      0,                      0
                      2,                 1.5067,                 4.2049,                 0.4117,                 1.9657,                 1.4371,                0.87693,                0.85714,                0.90184,                0.66595,                0.84468,                    0.5,                0.53463,                0.35452,                0.89302,                 3.5218,                0.35273,                0.59282,                 1.0568,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                 1.0441,                 3.3571,                0.32562,                0.88363,                 1.2215,                0.86452,                0.91247,                0.90192,                0.66842,                0.84428,                    0.5,                0.53003,                0.34954,                0.89587,                 3.5151,                0.35836,                0.60265,                 1.0574,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                  1.602,                 4.5093,                0.45208,                 1.6274,                 1.4782,                0.85513,                0.92857,                0.89697,                0.66241,                0.84049,                    0.5,                0.52581,                0.34577,                0.90673,                 3.5158,                0.35942,                0.62053,                 1.0639,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                 1.1309,                 2.7859,                0.38355,                0.96333,                 1.2708,                0.87678,                0.85714,                0.90175,                0.68026,                 0.6721,                0.64286,                0.57361,                0.33736,                0.93484,                 3.5794,                0.36045,                0.66633,                 1.0823,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                0.99345,                 3.6666,                0.35269,                0.84263,                 1.2477,                0.87361,                0.85714,                0.90175,                0.67021,                0.88759,                0.56473,                0.59042,                0.32495,                0.95518,                 3.6771,                0.36816,                0.71631,                 1.0984,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                 1.0625,                 2.3868,                0.33693,                0.84414,                 1.1748,                  0.864,                 0.9086,                0.89682,                0.67344,                0.87176,                0.57143,                 0.5942,                0.31163,                0.95262,                 3.7442,                0.37513,                0.75894,                 1.0986,             0.00011287,             0.00011287,             0.00011287
                      8,                0.96496,                 2.4069,                0.40906,                0.61146,                 1.1366,                0.86447,                0.91206,                0.89294,                0.64871,                0.85968,                0.57143,                0.52707,                0.28013,                0.96974,                 3.8931,                0.38027,                0.78385,                 1.1149,              0.0001303,              0.0001303,              0.0001303
                      9,                 1.0767,                 3.0375,                0.36351,                0.81505,                 1.2928,                0.86406,                0.90898,                0.90322,                0.61764,                0.85923,                0.57143,                  0.527,                0.28351,                 1.0438,                 4.0308,                0.38078,                0.81112,                 1.1463,             0.00014733,             0.00014733,             0.00014733
                     10,                0.91136,                  1.932,                 0.2993,                0.77092,                 1.1649,                0.85583,                0.84863,                0.89947,                0.57735,                0.86217,                0.57143,                0.52694,                0.29357,                 1.1125,                 4.0888,                0.38235,                0.85236,                 1.1755,             0.00016396,             0.00016396,             0.00016396
